pmid,year,words,chars,mentions,groups,type,field
24425143,2014,228,1540,3,3,Other or unspecified design,Oncology
18261563,2007,265,1805,10,10,Other or unspecified design,Surgery and orthopedics
23375298,2012,280,1905,8,8,Cohort study,Endocrinology and metabolism
17988369,2007,300,2223,8,8,Cohort study,Neurology and psychiatry
41756303,2026,277,2187,4,4,Case report or case series,Neurology and psychiatry
35944871,2022,328,2063,3,3,Randomized controlled trial,Other or general medicine
31240879,2019,244,1543,8,8,Case-control study,Endocrinology and metabolism
31300826,2020,267,1715,7,7,Cohort study,Pediatrics and neonatology
38083570,2023,125,933,3,3,Other or unspecified design,Other or general medicine
17010741,2006,281,2059,8,8,Cross-sectional study,Other or general medicine
23163825,2013,254,1870,6,6,Randomized controlled trial,Cardiovascular medicine
19115910,2008,244,1524,7,7,Other or unspecified design,Respiratory medicine
41805288,2026,265,1779,13,13,Cohort study,Endocrinology and metabolism
39894549,2025,278,1898,9,9,Other or unspecified design,Cardiovascular medicine
42469991,2026,285,2089,7,7,Other or unspecified design,Endocrinology and metabolism
26040625,2015,256,1898,5,5,Cohort study,Cardiovascular medicine
28757153,2017,300,2209,4,4,Other or unspecified design,Cardiovascular medicine
38768696,2024,275,2015,6,6,Case-control study,Neurology and psychiatry
22659767,2012,324,2254,6,6,Other or unspecified design,Endocrinology and metabolism
19656709,2010,250,1668,10,10,Cohort study,Oncology
24200636,2014,245,1554,9,9,Questionnaire or survey study,Endocrinology and metabolism
33388644,2020,208,1412,4,4,Other or unspecified design,Other or general medicine
29175799,2017,178,1257,3,3,Other or unspecified design,Oncology
34738962,2021,319,2077,5,5,Randomized controlled trial,Cardiovascular medicine
21705493,2011,249,1618,11,11,Randomized controlled trial,Obstetrics and gynecology
25450317,2014,275,1759,12,12,Other or unspecified design,Gastroenterology and hepatobiliary medicine
18160456,2007,261,1730,5,5,Other or unspecified design,Oncology
24296447,2013,778,4877,19,19,Other or unspecified design,Cardiovascular medicine
27722893,2016,182,1342,3,3,Other or unspecified design,Neurology and psychiatry
22118037,2011,170,1182,13,13,Other or unspecified design,Other or general medicine
29112662,2017,266,1971,10,9,Meta-analysis or systematic review,Gastroenterology and hepatobiliary medicine
34543098,2021,263,1844,6,6,Randomized controlled trial,Respiratory medicine
24122259,2014,297,1882,20,20,Other or unspecified design,Pediatrics and neonatology
18782816,2008,257,1841,4,4,Other or unspecified design,Neurology and psychiatry
42455491,2026,466,3225,25,25,Cohort study,Cardiovascular medicine
39607902,2024,295,2035,8,8,Cross-sectional study,Endocrinology and metabolism
28944609,2017,280,2109,6,6,Randomized controlled trial,Cardiovascular medicine
21820190,2011,296,2086,8,7,Cohort study,Oncology
28546546,2017,209,1484,7,7,Cohort study,Cardiovascular medicine
41838713,2026,369,2848,3,3,Randomized controlled trial,Cardiovascular medicine
32139298,2020,323,2236,29,29,Nonrandomized intervention or clinical trial,Oncology
25237185,2014,285,1830,4,4,Other or unspecified design,Other or general medicine
37478886,2023,500,3416,19,19,Randomized controlled trial,Cardiovascular medicine
30232687,2018,258,1619,12,12,Other or unspecified design,Cardiovascular medicine
25319771,2014,216,1456,7,6,Other or unspecified design,Respiratory medicine
32641318,2020,256,1805,13,13,Cohort study,Cardiovascular medicine
39638244,2024,279,1980,7,7,Meta-analysis or systematic review,Endocrinology and metabolism
24908247,2014,144,989,4,4,Other or unspecified design,Endocrinology and metabolism
37820787,2024,480,3359,18,15,Randomized controlled trial,Endocrinology and metabolism
39147483,2024,291,2011,5,5,Other or unspecified design,Other or general medicine
40471453,2025,322,2118,12,11,Randomized controlled trial,Endocrinology and metabolism
17965101,2008,225,1623,18,18,Case-control study,Surgery and orthopedics
18798805,2008,268,1807,3,3,Other or unspecified design,Other or general medicine
24621028,2014,248,1734,8,8,Cross-sectional study,Cardiovascular medicine
40908322,2025,235,1749,10,10,Other or unspecified design,Gastroenterology and hepatobiliary medicine
25924705,2015,200,1415,3,3,Other or unspecified design,Other or general medicine
19365139,2009,308,1911,5,5,Other or unspecified design,Endocrinology and metabolism
17684631,2007,189,1226,5,5,Other or unspecified design,Gastroenterology and hepatobiliary medicine
35616936,2022,424,2994,12,12,Cohort study,Cardiovascular medicine
23305454,2013,215,1395,7,7,Cross-sectional study,Cardiovascular medicine
33078248,2021,248,1649,4,3,Other or unspecified design,Neurology and psychiatry
21669889,2011,214,1550,7,7,Cohort study,Other or general medicine
37639815,2023,235,1434,16,16,Cohort study,Obstetrics and gynecology
37086232,2023,298,2011,10,10,Cohort study,Cardiovascular medicine
18379355,2008,307,2166,16,14,Other or unspecified design,Oncology
25818161,2016,190,1241,7,7,Other or unspecified design,Other or general medicine
21587097,2011,223,1526,3,3,Other or unspecified design,Endocrinology and metabolism
33032371,2020,265,1738,7,7,Other or unspecified design,Cardiovascular medicine
31367914,2019,283,1754,5,5,Randomized controlled trial,Pediatrics and neonatology
16634751,2006,215,1472,5,5,Randomized controlled trial,Other or general medicine
40900760,2025,371,2750,4,4,Nonrandomized intervention or clinical trial,Oncology
30315437,2018,270,1907,7,7,Nonrandomized intervention or clinical trial,Oncology
26026866,2015,316,2157,5,4,Other or unspecified design,Surgery and orthopedics
24456363,2013,265,1708,9,7,Randomized controlled trial,Endocrinology and metabolism
20625310,2010,237,1749,8,8,Other or unspecified design,Endocrinology and metabolism
28144840,2017,340,2169,23,19,Other or unspecified design,Infectious diseases
32484448,2020,286,2032,5,5,Other or unspecified design,Endocrinology and metabolism
30119682,2018,367,2394,6,6,Other or unspecified design,Endocrinology and metabolism
29334437,2017,239,1646,6,6,Randomized controlled trial,Other or general medicine
21985949,2011,324,2128,16,16,Cohort study,Cardiovascular medicine
31248307,2019,284,1885,7,7,Randomized controlled trial,Endocrinology and metabolism
36095019,2022,362,2399,11,11,Other or unspecified design,Endocrinology and metabolism
22771545,2012,258,1728,4,4,Other or unspecified design,Oncology
28816232,2018,237,1643,3,3,Other or unspecified design,Endocrinology and metabolism
26621039,2015,424,2981,8,8,Nonrandomized intervention or clinical trial,Oncology
25194428,2015,222,1448,5,5,Randomized controlled trial,Endocrinology and metabolism
31250419,2019,500,3349,12,12,Cohort study,Cardiovascular medicine
18584478,2008,374,2177,6,6,Randomized controlled trial,Oncology
26333513,2015,445,2979,17,16,Randomized controlled trial,Other or general medicine
41920897,2026,235,1798,4,4,Randomized controlled trial,Cardiovascular medicine
42253110,2026,426,3008,28,26,Nonrandomized intervention or clinical trial,Oncology
16919749,2006,415,2765,11,11,Randomized controlled trial,Neurology and psychiatry
16759989,2006,181,1247,4,4,Other or unspecified design,Neurology and psychiatry
16795068,2006,304,1863,13,13,Other or unspecified design,Oncology
16545644,2006,299,2110,7,7,Cohort study,Cardiovascular medicine
16895622,2006,177,1354,5,5,Randomized controlled trial,Neurology and psychiatry
