comparison,outcome,reference,candidate,weighted_n,weighted_tp,weighted_tn,weighted_fp,weighted_fn,overall_agreement,positive_agreement,negative_agreement,cohen_kappa
Codex_vs_A_random_plus_high_consensus,strict,A,Codex_candidate,11999.999999999985,2810.0749999999975,6521.634999999989,1225.9750000000004,1442.3149999999996,0.7776424999999998,0.6780709035717214,0.8301702695340244,0.508417849143106
Codex_vs_B_random_plus_high_consensus,strict,B,Codex_candidate,11999.999999999989,2917.619999999999,6531.234999999989,1118.4300000000012,1432.7149999999995,0.7874045833333331,0.695799203113141,0.8366076658096152,0.5327593287989489
Codex_vs_A_random_plus_high_consensus,substantive,A,Codex_candidate,11999.999999999976,1049.7400000000016,8301.92499999998,2146.384999999996,501.94999999999965,0.7793054166666666,0.44219920110619376,0.862439769823529,0.3246195510435644
Codex_vs_B_random_plus_high_consensus,substantive,B,Codex_candidate,11999.999999999976,1197.8050000000007,8282.58999999998,1998.3199999999963,521.2849999999997,0.7900329166666666,0.48738661482763274,0.8679783398136263,0.37001641833162685
Codex_vs_A_random_plus_high_consensus,severity_ge3,A,Codex_candidate,12000.000000000036,14.0,11804.205000000036,133.0,48.795,0.9848504166666667,0.1334636192473605,0.9923584096900385,0.12706215479998728
Codex_vs_B_random_plus_high_consensus,severity_ge3,B,Codex_candidate,12000.000000000036,14.0,11804.205000000036,133.0,48.795,0.9848504166666667,0.1334636192473605,0.9923584096900385,0.12706215479998728
