comparison,stratum,outcome,n,overall_agreement,overall_agreement_ci_low,overall_agreement_ci_high,cohen_kappa,cohen_kappa_ci_low,cohen_kappa_ci_high,positive_agreement,positive_agreement_ci_low,positive_agreement_ci_high,negative_agreement,negative_agreement_ci_low,negative_agreement_ci_high,ci_method
A_vs_B,random_10pct_independent,strict,1200,0.8883333333333333,0.8692595337970105,0.9049287890681986,0.7561781840126883,0.716708528762678,0.7936730473094025,0.8427230046948356,0.8155339805825242,0.8680947012401353,0.91343669250646,0.898513251454428,0.9277566539923955,paired multinomial bootstrap (20000 replicates; seed 20260827); Wilson CI for overall agreement
A_vs_B,random_10pct_independent,substantive,1200,0.9375,0.9223590588153541,0.9498488156572529,0.7289679098005204,0.6675685771992216,0.7854388197091193,0.7648902821316614,0.7094546023659442,0.8145896656534954,0.9639596347909659,0.955480801802833,0.9719448407037565,paired multinomial bootstrap (20000 replicates; seed 20260827); Wilson CI for overall agreement
Codex_vs_A,random_10pct_independent,strict,1200,0.7783333333333333,0.7539646702646451,0.8009256727331658,0.5063484944556996,0.45389541550802237,0.5572574600683812,0.6740196078431373,0.6354423786919831,0.7099143206854345,0.8320707070707071,0.8115006817118089,0.8518057285180572,paired multinomial bootstrap (20000 replicates; seed 20260827); Wilson CI for overall agreement
Codex_vs_A,random_10pct_independent,substantive,1200,0.7825,0.7582768574685728,0.804920227190882,0.318508203141999,0.2564403465075816,0.37850635343296857,0.43383947939262474,0.3758382014002638,0.48898705341275056,0.8653945332645694,0.8487394957983193,0.8814589665653495,paired multinomial bootstrap (20000 replicates; seed 20260827); Wilson CI for overall agreement
Codex_vs_B,random_10pct_independent,strict,1200,0.7883333333333333,0.7643197710202203,0.8105067519655358,0.5315885724823654,0.4803820403167979,0.5801847187237615,0.6924939467312349,0.6553808948004837,0.7268518518518519,0.8386277001270648,0.8184693232131562,0.8576687683567128,paired multinomial bootstrap (20000 replicates; seed 20260827); Wilson CI for overall agreement
Codex_vs_B,random_10pct_independent,substantive,1200,0.7933333333333333,0.7695049841338601,0.8152896288458686,0.36605316973415125,0.30431110107840337,0.42578807019971904,0.4811715481171548,0.424507658643326,0.5348410195769281,0.8709677419354839,0.8547631441957314,0.8863756107700768,paired multinomial bootstrap (20000 replicates; seed 20260827); Wilson CI for overall agreement
