model,model_id,tasks,primary_candidate_tasks,primary_candidate_rate,primary_candidate_ci_low,primary_candidate_ci_high,substantive_candidate_tasks,substantive_candidate_rate,substantive_candidate_ci_low,substantive_candidate_ci_high,codex_flagged_severity_ge3_tasks,codex_flagged_severity_ge3_rate,codex_flagged_severity_ge3_ci_low,codex_flagged_severity_ge3_ci_high,primary_events_supplementary,substantive_events_supplementary
GLM-5.2,aliyun/glm-5.2,2000,587,0.2935,0.2739541721375461,0.31383756838961124,408,0.204,0.18691468981734755,0.22222020217315414,7,0.0035,0.0016964316970424177,0.007207196253241745,842,518
DeepSeek V4 Pro,aliyun/deepseek-v4-pro,2000,935,0.4675,0.44571646184835706,0.4894081462249243,734,0.367,0.34615008208916165,0.3883598524876515,36,0.018,0.01302999144428223,0.024818042134845595,1819,1168
DeepSeek V4 Flash,aliyun/deepseek-v4-flash,2000,1016,0.508,0.48609541136198264,0.5298739158815173,870,0.435,0.4134179772264211,0.4568312389201417,59,0.0295,0.02293885238774463,0.037865089103914375,2133,1648
Qwen 3.7 Max,aliyun/qwen3.7-max,2000,658,0.329,0.30875324574592866,0.3499023844242598,430,0.215,0.19755057667839035,0.23354214027192374,10,0.005,0.0027181808584985597,0.009179695949941846,992,565
Kimi K2.6,aliyun/kimi-k2.6,2000,657,0.3285,0.30826216867498357,0.34939537854248615,527,0.2635,0.24465979187954665,0.283246971484486,28,0.014,0.009703783146220175,0.020159586811157672,1016,713
Qwen 3.8 Max,aliyun/qwen3.8-max,2000,293,0.1465,0.13168049828559023,0.16267485414225555,174,0.087,0.07542647321668068,0.10015700783763422,7,0.0035,0.0016964316970424177,0.007207196253241745,417,198
