model,model_id,codex_low_population,human_random_sample,human_severity_ge3_in_codex_low_sample,design_weighted_missed_tasks,missed_tasks_bound_low,missed_tasks_bound_high,codex_high_census,human_confirmed_severity_ge3_in_codex_high,design_weighted_total_severity_ge3_tasks,descriptive_capture_fraction,bound_note
GLM-5.2,aliyun/glm-5.2,1993,200,0,0.0,0.0,34.0,7,1,1.0,1.0,"missed-task bounds transform the model-specific exact finite-population interval; capture fraction is descriptive, not validated screening sensitivity"
DeepSeek V4 Pro,aliyun/deepseek-v4-pro,1964,200,1,9.82,1.0,51.0,36,1,10.82,0.09242144177449169,"missed-task bounds transform the model-specific exact finite-population interval; capture fraction is descriptive, not validated screening sensitivity"
DeepSeek V4 Flash,aliyun/deepseek-v4-flash,1941,200,3,29.115,7.0,81.0,59,8,37.114999999999995,0.2155462750909336,"missed-task bounds transform the model-specific exact finite-population interval; capture fraction is descriptive, not validated screening sensitivity"
Qwen 3.7 Max,aliyun/qwen3.7-max,1990,200,0,0.0,0.0,34.0,10,2,2.0,1.0,"missed-task bounds transform the model-specific exact finite-population interval; capture fraction is descriptive, not validated screening sensitivity"
Kimi K2.6,aliyun/kimi-k2.6,1972,200,1,9.86,1.0,52.0,28,2,11.86,0.16863406408094436,"missed-task bounds transform the model-specific exact finite-population interval; capture fraction is descriptive, not validated screening sensitivity"
Qwen 3.8 Max,aliyun/qwen3.8-max,1993,200,0,0.0,0.0,34.0,7,0,0.0,,"missed-task bounds transform the model-specific exact finite-population interval; capture fraction is descriptive, not validated screening sensitivity"
All six runs (descriptive aggregate),aggregate_not_pooled_prevalence,11853,1200,5,48.795,,,147,14,62.795,0.22294768691774822,descriptive sum across six finite runs; no joint confidence interval and no clinical screening-sensitivity claim
